Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1537    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
      428    0.000    0.000    0.004    0.000 rcsetup.py:310(validate_color)
       16    0.000    0.000    0.004    0.000 __init__.py:1634(_get)
        1    0.000    0.000    0.004    0.004 _shgo.py:1(<module>)
     9669    0.002    0.000    0.004    0.000 inspect.py:632(_is_wrapper)
      150    0.000    0.000    0.004    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.004    0.004 _apply_pyprojecttoml.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _codata.py:1(<module>)
    49306    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.004    0.002 _pep440.py:1(<module>)
      405    0.001    0.000    0.004    0.000 deprecation.py:9(wrap)
       11    0.000    0.000    0.004    0.000 core.py:1069(parse_string)
       32    0.000    0.000    0.004    0.000 colors.py:927(from_list)
    24232    0.004    0.000    0.004    0.000 enum.py:678(__new__)
      410    0.002    0.000    0.004    0.000 version.py:293(__str__)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog.py:1(<module>)
      284    0.001    0.000    0.004    0.000 overrides.py:88(verify_matching_signatures)
  262/130    0.000    0.000    0.004    0.000 pyparsing.py:3365(<listcomp>)
      806    0.001    0.000    0.004    0.000 posixpath.py:117(splitext)
     1288    0.001    0.000    0.004    0.000 font_manager.py:968(_json_decode)
     1612    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
       17    0.000    0.000    0.003    0.000 dataclasses.py:529(_init_fn)
        3    0.000    0.000    0.003    0.001 __init__.py:46(_get_running_interactive_framework)
      137    0.000    0.000    0.003    0.000 rcsetup.py:88(f)
      428    0.000    0.000    0.003    0.000 colors.py:111(is_color_like)
        3    0.003    0.001    0.003    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _policybase.py:1(<module>)
       50    0.000    0.000    0.003    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _parser.py:1(<module>)
      210    0.000    0.000    0.003    0.000 __init__.py:1420(has_metadata)
      258    0.000    0.000    0.003    0.000 traceback.py:301(line)
      798    0.001    0.000    0.003    0.000 re.py:202(sub)
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
       54    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
     5733    0.002    0.000    0.003    0.000 posixpath.py:41(_get_sep)
